kraj,okres,obec,GPS,typ tabora,vybavenie,pocet zajatcov,narodnost vacsiny zajatych
Trnavský,Dunajská Streda,Šamorín,48.027423 17.314564,vojaci-dôstojníci,"lazaret
dezinfekcna stanica
mobilne operacne komando
cintorin",59574,Rus
Trnavský,Dunajská Streda,Dunajská Streda,47.991419 17.620104,vojaci-dôstojníci,"lazaret
mobilne operacne komando
cintorin",60700,Rus
Trnavský,Dunajská Streda,Veľký Meder,47.855737 17.766373,vojaci-dôstojníci,"nemocnica
mobilne operacne komando
cintorin",44196,Srb
Košický,Spišská Nová Ves,Spišská Nová Ves,48.945594 20.564013,vojaci,lazaret,1000,Rus
Prešovský,Medzilaborce,Medzilaborce,49.274773 21.907031,vojaci,lazaret,500,Rus
