timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1712853410407,38,Klik na Predpoved pocasia pre Tatry,200,"Number of samples in transaction : 1, number of failing samples : 0",Testovaci scenar 1-1,,true,,9412,531,5,5,null,0,13002,0
1712853423409,38,HTTP Request,200,OK,Testovaci scenar 1-1,text,true,,9412,531,5,5,https://www.shmu.sk/sk/?page=107,38,0,0
1712853411357,7,Klik na Predpoved pocasia pre Tatry,200,"Number of samples in transaction : 1, number of failing samples : 0",Testovaci scenar 1-2,,true,,9433,531,5,5,null,0,13004,0
1712853424360,7,HTTP Request,200,OK,Testovaci scenar 1-2,text,true,,9433,531,5,5,https://www.shmu.sk/sk/?page=107,7,0,0
1712853412610,8,Klik na Predpoved pocasia pre Tatry,200,"Number of samples in transaction : 1, number of failing samples : 0",Testovaci scenar 1-3,,true,,9433,531,5,5,null,0,13005,0
1712853425614,8,HTTP Request,200,OK,Testovaci scenar 1-3,text,true,,9433,531,5,5,https://www.shmu.sk/sk/?page=107,8,0,0
1712853413849,12,Klik na Predpoved pocasia pre Tatry,200,"Number of samples in transaction : 1, number of failing samples : 0",Testovaci scenar 1-4,,true,,9433,531,5,5,null,0,13015,0
1712853426864,12,HTTP Request,200,OK,Testovaci scenar 1-4,text,true,,9433,531,5,5,https://www.shmu.sk/sk/?page=107,12,0,0
1712853415093,8,Klik na Predpoved pocasia pre Tatry,200,"Number of samples in transaction : 1, number of failing samples : 0",Testovaci scenar 1-5,,true,,9433,531,5,5,null,0,13003,0
1712853428094,8,HTTP Request,200,OK,Testovaci scenar 1-5,text,true,,9433,531,5,5,https://www.shmu.sk/sk/?page=107,8,0,0
1712853423448,44,klik na produkty SHMU - Meterologia - Model Aladin do 3 dni - Meteogram do 3 dni,200,"Number of samples in transaction : 1, number of failing samples : 0",Testovaci scenar 1-1,,true,,21811,523,5,5,null,0,13015,0
1712853436463,44,HTTP Request,200,OK,Testovaci scenar 1-1,text,true,,21811,523,5,5,https://www.shmu.sk/sk/?page=769,43,0,0
1712853424368,11,klik na produkty SHMU - Meterologia - Model Aladin do 3 dni - Meteogram do 3 dni,200,"Number of samples in transaction : 1, number of failing samples : 0",Testovaci scenar 1-2,,true,,21824,523,5,5,null,0,13008,0
1712853437376,11,HTTP Request,200,OK,Testovaci scenar 1-2,text,true,,21824,523,5,5,https://www.shmu.sk/sk/?page=769,11,0,0
1712853425623,8,klik na produkty SHMU - Meterologia - Model Aladin do 3 dni - Meteogram do 3 dni,200,"Number of samples in transaction : 1, number of failing samples : 0",Testovaci scenar 1-3,,true,,21824,523,5,5,null,0,13005,0
1712853438629,8,HTTP Request,200,OK,Testovaci scenar 1-3,text,true,,21824,523,5,5,https://www.shmu.sk/sk/?page=769,8,0,0
1712853426876,8,klik na produkty SHMU - Meterologia - Model Aladin do 3 dni - Meteogram do 3 dni,200,"Number of samples in transaction : 1, number of failing samples : 0",Testovaci scenar 1-4,,true,,21824,523,5,5,null,0,13002,0
1712853439878,8,HTTP Request,200,OK,Testovaci scenar 1-4,text,true,,21824,523,5,5,https://www.shmu.sk/sk/?page=769,7,0,0
1712853428103,7,klik na produkty SHMU - Meterologia - Model Aladin do 3 dni - Meteogram do 3 dni,200,"Number of samples in transaction : 1, number of failing samples : 0",Testovaci scenar 1-5,,true,,21824,523,5,5,null,0,13003,0
1712853441106,7,HTTP Request,200,OK,Testovaci scenar 1-5,text,true,,21824,523,5,5,https://www.shmu.sk/sk/?page=769,6,0,0
1712853436507,60,Vyber Mesto z comboboxu a zobraz predpoved pocasia,200,"Number of samples in transaction : 1, number of failing samples : 0",Testovaci scenar 1-1,,true,,21649,519,5,5,null,0,13004,11
1712853449510,60,HTTP Request,200,OK,Testovaci scenar 1-1,text,true,,21649,519,5,5,https://www.shmu.sk/sk/?page=769&nwp_mesto=32437,50,0,11
1712853437388,57,Vyber Mesto z comboboxu a zobraz predpoved pocasia,200,"Number of samples in transaction : 1, number of failing samples : 0",Testovaci scenar 1-2,,true,,21644,519,5,5,null,0,13015,11
1712853450402,57,HTTP Request,200,OK,Testovaci scenar 1-2,text,true,,21644,519,5,5,https://www.shmu.sk/sk/?page=769&nwp_mesto=32737,57,0,11
